I0507 12:04:17.597069       1 descheduler.go:169] "Number of evicted pods" totalEvicted=0
I0507 12:04:17.596339       1 nodeutilization.go:207] "Node is overutilized" node="gke-dev-eu-west-3-main-n2s8-1-1dd39c-d1c92061-kpwx" usage={"cpu":"7851m","memory":"14566Mi","pods":"38"} usagePercentage={"cpu":99.25,"memory":51.29,"pods":59.38}
I0507 12:04:17.596321       1 nodeutilization.go:207] "Node is overutilized" node="gke-dev-eu-west-3-main-n2s8-1-1dd39c-d1c92061-kvt4" usage={"cpu":"7146m","memory":"13107674048","pods":"43"} usagePercentage={"cpu":90.34,"memory":44.02,"pods":67.19}
I0507 12:04:17.596282       1 nodeutilization.go:207] "Node is overutilized" node="gke-dev-eu-west-3-main-n2s8-1-1dd39c-d1c92061-95l9" usage={"cpu":"7781m","memory":"9358Mi","pods":"17"} usagePercentage={"cpu":98.37,"memory":32.95,"pods":26.56}
I0507 12:04:17.595169       1 descheduler.go:155] Building a pod evictor
I0507 12:03:30.627632       1 reflector.go:790] k8s.io/client-go/informers/factory.go:150: Watch close - *v1.Node total 71 items received
I0507 12:02:50.027655       1 reflector.go:800] k8s.io/client-go/informers/factory.go:159: Watch close - *v1.PriorityClass total 7 items received
I0507 12:02:49.544175       1 reflector.go:790] k8s.io/client-go/informers/factory.go:150: Watch close - *v1.PriorityClass total 7 items received
I0507 12:02:27.989125       1 descheduler.go:170] "Number of evicted pods" totalEvicted=7
I0507 12:02:27.989104       1 profile.go:349] "Total number of pods evicted" extension point="Balance" evictedPods=7
I0507 12:02:27.989035       1 nodeutilization.go:270] "No removable pods on node, try next node" node="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-kvxj"
I0507 12:02:27.989023       1 nodeutilization.go:267] "Pods on node" node="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-kvxj" allPods=64 nonRemovablePods=64 removablePods=0
I0507 12:02:27.989011       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-wzsl5" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988996       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/kube-proxy-gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-kvxj" checks="[pod is a mirror pod, pod is a static pod, pod has system critical priority, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.988976       1 defaultevictor.go:202] "Pod fails the following checks" pod="agent-logs/agent-x46tw" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.988959       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-btb5z" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988945       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-g5jbk" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988923       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-nzxht" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988887       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-9sxjh" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988870       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-lhznv" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988856       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-4v5zd" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988834       1 defaultevictor.go:202] "Pod fails the following checks" pod="netfilter-exporter/netfilter-exporter-vsqft" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.988797       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-d4v58" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988783       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-29rrx" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988774       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-kh7j2" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988762       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-lds25" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988753       1 defaultevictor.go:202] "Pod fails the following checks" pod="promtail-ops/loki-canary-452mv" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold]"
I0507 12:02:27.988741       1 defaultevictor.go:202] "Pod fails the following checks" pod="ge-logs/promtail-42tsn" checks="[pod is a DaemonSet pod, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.988732       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-t6jhd" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988721       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-8rvkp" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988711       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-zzhkf" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988699       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-vmsn7" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988688       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-clkw9" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988674       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/calico-node-dckq8" checks="[pod is a DaemonSet pod, pod has system critical priority, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.988658       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/node-local-dns-8l5g8" checks="[pod is a DaemonSet pod, pod has system critical priority, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.988645       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-w8x2s" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988637       1 defaultevictor.go:202] "Pod fails the following checks" pod="pyroscope-ebpf/profiler-bgr54" checks="pod is a DaemonSet pod"
I0507 12:02:27.988625       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-kshxn" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988614       1 defaultevictor.go:202] "Pod fails the following checks" pod="node-exporter/node-exporter-8wcvq" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.988603       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-n7zqn" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988591       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-z2lsr" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988582       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-f8wqb" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988571       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-cpsm2" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988559       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-gfblm" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988550       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-frww2" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988539       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-bkrll" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988528       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-2xxtn" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988517       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-tmh6q" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988508       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-wqrfc" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988495       1 defaultevictor.go:202] "Pod fails the following checks" pod="startup/startup-9kxhq" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold]"
I0507 12:02:27.988483       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-srn7j" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988470       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-j5rfq" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988461       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/kube-dns-67d96b65b4-8rnn8" checks="[pod has system critical priority, pod has higher priority than specified priority class threshold]"
I0507 12:02:27.988450       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-d4jth" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988437       1 defaultevictor.go:202] "Pod fails the following checks" pod="promtail-ops/agent-7j4xl" checks="[pod is a DaemonSet pod, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.988425       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-xgx6z" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988413       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-8sxrr" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988395       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-zdjqg" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988380       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-wgvtz" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988364       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-hfh47" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988353       1 defaultevictor.go:202] "Pod fails the following checks" pod="conntrack-exporter/conntrack-exporter-sz7vn" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold]"
I0507 12:02:27.988343       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-2llkt" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988331       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-dvsmf" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988318       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/ip-masq-agent-s9wbt" checks="[pod is a DaemonSet pod, pod has system critical priority, pod has higher priority than specified priority class threshold]"
I0507 12:02:27.988305       1 defaultevictor.go:202] "Pod fails the following checks" pod="loki-dev-ssd/promtail-loki-dev-ssd-nb7hr" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.988292       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-qjdpq" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988281       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-98gpk" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988268       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/pdcsi-node-zgl66" checks="[pod is a DaemonSet pod, pod has system critical priority, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.988254       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-8jrxv" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988242       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-6ksff" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988228       1 defaultevictor.go:202] "Pod fails the following checks" pod="insight-logs/promtail-insight-logs-2zxd5" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.988215       1 defaultevictor.go:202] "Pod fails the following checks" pod="goldpinger/goldpinger-dhx94" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold]"
I0507 12:02:27.988200       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-crfdm" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988190       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-7jb6p" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988176       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-6nmnh" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988167       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-87kvn" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988152       1 nodeutilization.go:264] "Evicting pods from node" node="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-kvxj" usage={"cpu":"13086m","memory":"24314Mi","pods":"64"}
I0507 12:02:27.988131       1 nodeutilization.go:270] "No removable pods on node, try next node" node="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-2dqk"
I0507 12:02:27.988120       1 nodeutilization.go:267] "Pods on node" node="gke-dev-us-central-0-main-n2s16-3-1dd-9b502d96-2dqk" allPods=64 nonRemovablePods=64 removablePods=0
I0507 12:02:27.988101       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-q5vxs" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988086       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-swkjg" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988074       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-52t6h" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988065       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-xq4dj" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988057       1 defaultevictor.go:202] "Pod fails the following checks" pod="promtail-ops/loki-canary-4r5hm" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold]"
I0507 12:02:27.988047       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-xr75f" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988038       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-47lr4" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988027       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-rpll7" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988017       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-gtvn4" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.988006       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-lkkbt" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987995       1 defaultevictor.go:202] "Pod fails the following checks" pod="conntrack-exporter/conntrack-exporter-z6jpx" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold]"
I0507 12:02:27.987983       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-ln6rm" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987974       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-hhnmg" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987962       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-r57h9" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987953       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-vvb5c" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987941       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-nhzzj" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987930       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-czjpc" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987918       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-vrdr8" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987906       1 defaultevictor.go:202] "Pod fails the following checks" pod="netfilter-exporter/netfilter-exporter-8xfwd" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.987892       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-w4262" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987881       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-tjgjt" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987868       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-rhbm8" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987858       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/ip-masq-agent-g4tkt" checks="[pod is a DaemonSet pod, pod has system critical priority, pod has higher priority than specified priority class threshold]"
I0507 12:02:27.987843       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-lqc8k" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987825       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-qv94s" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987797       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-l47lf" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987786       1 defaultevictor.go:202] "Pod fails the following checks" pod="machine-learning/modelapi-764cffb67d-l9dcn" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987775       1 defaultevictor.go:202] "Pod fails the following checks" pod="ge-logs/promtail-f7652" checks="[pod is a DaemonSet pod, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.987760       1 defaultevictor.go:202] "Pod fails the following checks" pod="loki-dev-ssd/promtail-loki-dev-ssd-ss852" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.987748       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-spvj4" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987735       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-fpx5r" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987725       1 defaultevictor.go:202] "Pod fails the following checks" pod="test-agents-01/test-agent-64975684fc-khmgd" checks="pod has local storage and descheduler is not configured with evictLocalStoragePods"
I0507 12:02:27.987712       1 defaultevictor.go:202] "Pod fails the following checks" pod="kube-system/calico-node-hqcjm" checks="[pod is a DaemonSet pod, pod has system critical priority, pod has higher priority than specified priority class threshold, pod has local storage and descheduler is not configured with evictLocalStoragePods]"
I0507 12:02:27.987695       1 defaultevictor.go:202] "Pod fails the following checks" pod="startup/startup-7wzwp" checks="[pod is a DaemonSet pod, pod has higher priority than specified priority class threshold]"
